vars_1,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs
Ocupados,55398.4811068956,560893.660836309,3977141.0453841,14,16,224,51407.7915079646,490201.667391992,3627887.32113411,2,16,32,50661.2200515883,455506.310475153,3438403.86787711,5,16,80
Desocupados,2154.52953671734,44525.8506891349,369743.429860517,14,16,224,3250.17081316608,54846.4938624577,443755.636870118,2,16,32,3552.18172472586,64644.1244780008,501082.858934559,5,16,80
Inactivos,21315.6275837301,358280.194801055,2277606.64482347,14,16,224,25157.9034431545,432355.464703087,2848594.81795758,2,16,32,25344.2064677737,462683.027579882,3010030.03025637,5,16,80
Ocupados_Mujeres,24123.663055567,237351.147319587,1751150.48397633,14,16,224,22567.7505932091,200872.430225445,1530061.58642437,2,16,32,22121.1853818946,186745.522295946,1453675.22509008,5,16,80
Ocupados_Hombres,30566.0351232896,323542.513516723,2249976.61970336,14,16,224,28840.0409147555,289329.237166547,2097825.73470973,2,16,32,28246.4958097879,268760.788179206,1984728.64278703,5,16,80
Formales,38370.0475255273,404571.815057736,2928656.86031622,14,16,224,36408.1032785436,367711.1474596,2739144.14235983,2,16,32,36032.6460145093,349829.733306332,2624329.23091946,5,16,80
Informales,14901.8183087486,156321.845778574,1059216.65744524,14,16,224,10979.2028526904,122490.519932392,888743.178774275,2,16,32,9679.14047724781,105676.577168821,814074.636957646,5,16,80
Pet_reg,82603,963699.705636161,6542840,14,16,224,83655,977403.625,6573999,2,16,32,83832,982833.4625,6634728,5,16,80
flujo_ocu_1,-267602.59375,-2998.69059735749,51194.89453125,14,16,224,-346238.78125,-34173.2163467407,-354.27783203125,2,16,32,-46379.9296875,9679.19696545601,156260.375,5,16,80
flujo_ocu_Pet_1,-7.13663148880005,-0.356396862952481,3.8664870262146,14,16,224,-8.18740367889404,-3.36914716009051,-0.423063784837723,2,16,32,-1.6530054807663,0.813170139701106,3.43081021308899,5,16,80
initial_shock,0,0,0,14,16,224,1,1,1,2,16,32,0,0,0,5,16,80
rest_pandemia,0,0,0,14,16,224,0,0,0,2,16,32,1,1,1,5,16,80
mes_cuarentena_max,0,0,0,14,16,224,0,0.5,1,2,16,32,0,0.625,1,5,16,80
diasEn_cuarentena_max,Inf,,-Inf,14,16,224,0,7.375,30,2,16,32,0,14.7125,31,5,16,80
mes_cuarentena_mean_max3_1st,0,0,0,14,16,224,0,2.66724296659231,25,2,16,32,0,1.09577919542789,28.5714282989502,5,16,80
mes_cuarentena_mean_max3_REST,0,0,0,14,16,224,0,2.63132183998823,28.8461532592773,2,16,32,0,14.9302144855261,90.3846130371094,5,16,80
