vars_1,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs
Ocupados,91938.6783037499,950110.860410979,3977141.0453841,14,7,98,76336.4258145542,828063.476942063,3627887.32113411,2,7,14,73069.1165336443,770842.917802379,3438403.86787711,5,7,35
Desocupados,2246.32554098394,76449.2441412533,369743.429860517,14,7,98,5340.77357083044,93697.9342764424,443755.636870118,2,7,14,6476.57901780425,109735.866671788,501082.858934559,5,7,35
Inactivos,45130.0305942673,605491.080664453,2277606.64482347,14,7,98,56554.2016532581,733757.303249758,2848594.81795758,2,7,14,62062.1549545762,784154.758383843,3010030.03025637,5,7,35
Ocupados_Mujeres,37277.3534936951,406117.716885797,1751150.48397633,14,7,98,31643.6735154322,342847.499642526,1530061.58642437,2,7,14,30053.4906988542,319017.978189482,1453675.22509008,5,7,35
Ocupados_Hombres,53776.2861780752,543993.143525181,2249976.61970336,14,7,98,44692.7522991219,485215.977299537,2097825.73470973,2,7,14,43015.62583479,451824.939612897,1984728.64278703,5,7,35
Formales,74459.1902915841,692620.991923962,2928656.86031622,14,7,98,65357.2229618638,627823.949648515,2739144.14235983,2,7,14,63389.9760563964,597113.745221446,2624329.23091946,5,7,35
Informales,14901.8183087486,257489.868487016,1059216.65744524,14,7,98,10979.2028526904,200239.527293547,888743.178774275,2,7,14,9679.14047724781,173729.172580933,814074.636957646,5,7,35
Pet_reg,142370,1632051.18367347,6542840,14,7,98,145255,1655518.71428571,6573999,2,7,14,145662,1664733.54285714,6634728,5,7,35
flujo_ocu_1,-267602.59375,-5218.61478766617,51194.89453125,14,7,98,-346238.78125,-56594.9371337891,-3267.30932617188,2,7,14,-46379.9296875,16639.9220827375,156260.375,5,7,35
flujo_ocu_Pet_1,-7.13663148880005,-0.456384792106644,1.39599859714508,14,7,98,-6.74738836288452,-3.33737554294722,-0.93442839384079,2,7,14,-1.174351811409,0.742664588774954,2.86770224571228,5,7,35
initial_shock,0,0,0,14,7,98,1,1,1,2,7,14,0,0,0,5,7,35
rest_pandemia,0,0,0,14,7,98,0,0,0,2,7,14,1,1,1,5,7,35
mes_cuarentena_max,0,0,0,14,7,98,1,1,1,2,7,14,0,0.6,1,5,7,35
diasEn_cuarentena_max,Inf,,-Inf,14,7,98,2,14.6428571428571,30,2,7,14,0,13.5714285714286,31,5,7,35
mes_cuarentena_mean_max3_1st,0,0,0,14,7,98,0,3.596555352211,13.4615383148193,2,7,14,0,0,0,5,7,35
mes_cuarentena_mean_max3_REST,0,0,0,14,7,98,0,6.0144499199731,28.8461532592773,2,7,14,0,16.7058790479388,90.3846130371094,5,7,35
