vars_1,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs,Min,Mean,Max,T,R,Obs
Ocupados,55398.4811068956,258169.172278233,535795.263329105,14,9,126,51407.7915079646,227420.25996416,495275.923979546,2,9,18,50661.2200515883,210244.504776199,437821.014683199,5,9,45
Desocupados,2154.52953671734,19696.5446708206,41508.6943383931,14,9,126,3250.17081316608,24628.7068738029,49857.0665294434,2,9,18,3552.18172472586,29572.7694383888,55979.5722015602,5,9,45
Inactivos,21315.6275837301,166005.061351745,375897.138357321,14,9,126,25157.9034431545,197931.812500121,432130.829465183,2,9,18,25344.2064677737,212649.459176801,466194.491641332,5,9,45
Ocupados_Mujeres,24123.663055567,106088.259879201,222040.606357782,14,9,126,22567.7505932091,90447.3762343822,201869.065792554,2,9,18,22121.1853818946,83866.9454898628,165802.248153002,5,9,45
Ocupados_Hombres,30566.0351232896,152080.912399033,315229.799360094,14,9,126,28840.0409147555,136972.883729777,293406.858186992,2,9,18,28246.4958097879,126377.559286336,272018.766530197,5,9,45
Formales,38370.0475255273,180533.566384004,360070.954373419,14,9,126,36408.1032785436,165401.190201554,335101.310886707,2,9,18,36032.6460145093,157497.724039021,318884.979432864,5,9,45
Informales,16532.2053489831,77635.6058942295,187217.158920473,14,9,126,14999.688229421,62019.0697626052,160174.613092839,2,9,18,14214.2401635336,52746.780737178,118936.035250335,5,9,45
Pet_reg,82603,443870.77827381,906131,14,9,126,83655,449980.777777778,908249,2,9,18,83832,452466.733333333,913171,5,9,45
flujo_ocu_1,-40659.0234375,-1272.08289378408,23905.474609375,14,9,126,-62594.66015625,-16734.1001790365,-354.27783203125,2,9,18,-7148.8876953125,4265.29965201484,19157.9296875,5,9,45
flujo_ocu_Pet_1,-6.25158739089966,-0.278628473610355,3.8664870262146,14,9,126,-8.18740367889404,-3.39385841786861,-0.423063784837723,2,9,18,-1.6530054807663,0.868007790421446,3.43081021308899,5,9,45
initial_shock,0,0,0,14,9,126,1,1,1,2,9,18,0,0,0,5,9,45
rest_pandemia,0,0,0,14,9,126,0,0,0,2,9,18,1,1,1,5,9,45
mes_cuarentena_max,0,0,0,14,9,126,0,0.111111111111111,1,2,9,18,0,0.644444444444445,1,5,9,45
diasEn_cuarentena_max,Inf,,-Inf,14,9,126,0,1.72222222222222,16,2,9,18,0,15.6,31,5,9,45
mes_cuarentena_mean_max3_1st,0,0,0,14,9,126,0,1.94444444444444,25,2,9,18,0,1.94805190298292,28.5714282989502,5,9,45
mes_cuarentena_mean_max3_REST,0,0,0,14,9,126,0,0,0,2,9,18,0,13.549142048094,44.4444427490234,5,9,45
